topk,nume,moeh,sed,h,ffnh,numh,numl,lr,bs,ti,N,Na,M,kvcache,D,D/N,Na/N,loss,smooth loss
1,8,3528,3528,1408,3904,11,16,0.0009766,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.686691,2.643795301972017
3,8,2888,8664,1408,3904,11,16,0.0009766,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.658041,2.612538080735804
1,89,352,352,1408,3904,11,16,0.0009766,64,15258,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.628457,2.6938280561474346
2,88,352,704,1408,3904,11,16,0.0009766,64,15258,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.581141,2.6483003532972345
1,8,3528,3528,1408,3904,11,16,0.0009766,64,15258,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.545331,2.6156275350708924
3,8,2888,8664,1408,3904,11,16,0.0009766,64,15258,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.522555,2.5928972466683864
1,89,352,352,1408,3904,11,16,0.0009766,128,7629,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.678477,2.683037528741313
2,88,352,704,1408,3904,11,16,0.0009766,128,7629,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.639044,2.6414648118299024
1,8,3528,3528,1408,3904,11,16,0.0009766,128,7629,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.608514,2.6148472886492637
3,8,2888,8664,1408,3904,11,16,0.0009766,128,7629,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.587238,2.5935538439337558
1,89,352,352,1408,3904,11,16,0.0009766,256,3814,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.67657,2.69090647051002
2,88,352,704,1408,3904,11,16,0.0009766,256,3814,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.637012,2.6495846234696585
1,8,3528,3528,1408,3904,11,16,0.0009766,256,3814,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.614655,2.6287035962515137
3,8,2888,8664,1408,3904,11,16,0.0009766,256,3814,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.603912,2.6159867524103046
1,89,352,352,1408,3904,11,16,0.0009766,512,1907,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.73717,2.739272323392983
2,88,352,704,1408,3904,11,16,0.0009766,512,1907,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.694012,2.694603671721022
1,8,3528,3528,1408,3904,11,16,0.0009766,512,1907,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.678291,2.678014009168565
3,8,2888,8664,1408,3904,11,16,0.0009766,512,1907,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.681128,2.6818463144695084
1,89,352,352,1408,3904,11,16,0.001381,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.772249,2.731650532020263
2,88,352,704,1408,3904,11,16,0.001381,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.729548,2.6950394384094176
1,8,3528,3528,1408,3904,11,16,0.001381,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.703898,2.662959684779923
3,8,2888,8664,1408,3904,11,16,0.001381,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.67915,2.6370944213499565
1,89,352,352,1408,3904,11,16,0.001381,64,15258,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.656931,2.723034087934737
2,88,352,704,1408,3904,11,16,0.001381,64,15258,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.602671,2.670370844614917
1,8,3528,3528,1408,3904,11,16,0.001381,64,15258,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.584067,2.6515701225511754
3,8,2888,8664,1408,3904,11,16,0.001381,64,15258,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.550307,2.620972939456006
1,89,352,352,1408,3904,11,16,0.001381,128,7629,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.695702,2.697476906130425
2,88,352,704,1408,3904,11,16,0.001381,128,7629,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.661749,2.666718382616007
1,8,3528,3528,1408,3904,11,16,0.001381,128,7629,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.62658,2.6331681470191346
3,8,2888,8664,1408,3904,11,16,0.001381,128,7629,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.605303,2.6120580130237854
1,89,352,352,1408,3904,11,16,0.001381,256,3814,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.700613,2.715353644435451
2,88,352,704,1408,3904,11,16,0.001381,256,3814,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.65369,2.6673845350911685
1,8,3528,3528,1408,3904,11,16,0.001381,256,3814,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.629436,2.643596915478709
3,8,2888,8664,1408,3904,11,16,0.001381,256,3814,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.612481,2.626022129489648
1,89,352,352,1408,3904,11,16,0.001381,512,1907,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.752976,2.75375698446012
2,88,352,704,1408,3904,11,16,0.001381,512,1907,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.708904,2.70996983192146
1,8,3528,3528,1408,3904,11,16,0.001381,512,1907,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.696697,2.6974533503062235
3,8,2888,8664,1408,3904,11,16,0.001381,512,1907,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.694237,2.6943353426216112
1,89,352,352,1408,3904,11,16,0.001953,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.782879,2.747994116339953
2,88,352,704,1408,3904,11,16,0.001953,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.745601,2.7100689328816903
1,8,3528,3528,1408,3904,11,16,0.001953,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.73149,2.688527031472424
3,8,2888,8664,1408,3904,11,16,0.001953,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.713646,2.6709768251807
1,89,352,352,1408,3904,11,16,0.001953,64,15258,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.673823,2.738920012523154
2,88,352,704,1408,3904,11,16,0.001953,64,15258,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.640104,2.7053330660963804
1,8,3528,3528,1408,3904,11,16,0.001953,64,15258,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.628143,2.6929482378842446
3,8,2888,8664,1408,3904,11,16,0.001953,64,15258,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.588496,2.65559051626406
1,89,352,352,1408,3904,11,16,0.001953,128,7629,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.733262,2.7343875025036573
2,88,352,704,1408,3904,11,16,0.001953,128,7629,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.692178,2.6949915995261065
1,8,3528,3528,1408,3904,11,16,0.001953,128,7629,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.670081,2.673868220325652
3,8,2888,8664,1408,3904,11,16,0.001953,128,7629,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.659753,2.6666790341750444
1,89,352,352,1408,3904,11,16,0.001953,256,3814,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.736827,2.751525626309614
2,88,352,704,1408,3904,11,16,0.001953,256,3814,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.686599,2.7018879793284896
1,8,3528,3528,1408,3904,11,16,0.001953,256,3814,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.672147,2.685861241079863
3,8,2888,8664,1408,3904,11,16,0.001953,256,3814,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.657419,2.672158827371549
1,89,352,352,1408,3904,11,16,0.001953,512,1907,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.799181,2.799863308311716
2,88,352,704,1408,3904,11,16,0.001953,512,1907,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.747428,2.7476457978234405
1,8,3528,3528,1408,3904,11,16,0.001953,512,1907,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.729777,2.731064874180717
3,8,2888,8664,1408,3904,11,16,0.001953,512,1907,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.737459,2.7380999921877107
1,89,352,352,1408,3904,11,16,0.002762,32,30517,2150612992,187973632,1681489920,45056,2000000000,0.9299674127514987,0.0874046761082711,2.797097,2.759213146255751
2,88,352,704,1408,3904,11,16,0.002762,32,30517,2150612992,232579072,1949122560,45056,2000000000,0.9299674127514987,0.1081454789239922,2.758219,2.721913700765251
1,8,3528,3528,1408,3904,11,16,0.002762,32,30517,2155174912,590436352,4096266240,45056,2000000000,0.927998924293343,0.2739621497598428,2.760523,2.725364017389744
3,8,2888,8664,1408,3904,11,16,0.002762,32,30517,2156188672,1241270272,8001269760,45056,2000000000,0.927562613593028,0.5756779488358243,2.728767,2.690910643274953
