h,ffnh,numh,numl,lr,bs,ti,D,N,D/N,loss,smooth loss
960,9368,15,7,0.0009766,64,762939,100000000000,214663680,465.84499063837904,2.36974,2.373319010284847
1280,9472,10,10,0.001381,512,47683,50000000000,429260800,116.47930582061068,2.270188,2.26604989743223
960,9368,15,7,0.001953,128,381469,100000000000,214663680,465.84499063837904,2.423271,2.360047129075336
960,9368,15,7,0.0002441,352,138716,100000000000,214663680,465.84499063837904,2.389953,2.3953447377226227
960,9368,15,7,0.0009766,352,138716,100000000000,214663680,465.84499063837904,2.350474,2.355695334061094
960,9368,15,7,0.0003453,352,138716,100000000000,214663680,465.84499063837904,2.377572,2.383424635597366
1024,9552,16,8,0.0003453,32,1220703,80000000000,268304384,298.1688141182218,2.305388,2.3738187814732865
960,9368,15,7,0.003906,1024,47683,100000000000,214663680,465.84499063837904,2.3304,2.3437764287111635
1280,9472,10,10,0.001953,128,190734,50000000000,429260800,116.47930582061068,2.274187,2.2729953887574346
1024,9552,16,8,0.003906,736,53074,80000000000,268304384,298.1688141182218,2.296674,2.3071176924939163
1024,9552,16,8,0.002762,192,203450,80000000000,268304384,298.1688141182218,2.315749,2.3162556519584334
1280,9472,10,10,0.0004883,128,190734,50000000000,429260800,116.47930582061068,2.278296,2.277312139910184
1280,9472,10,10,0.01105,192,127156,50000000000,429260800,116.47930582061068,2.357166,2.343424733058944
1280,9472,10,10,0.0002441,736,33171,50000000000,429260800,116.47930582061068,2.334194,2.3239559457725933
1024,9552,16,8,0.002762,2048,19073,80000000000,268304384,298.1688141182218,2.327692,2.328886206778444
1280,9472,10,10,0.0002441,32,762939,50000000000,429260800,116.47930582061068,2.339638,2.320700002861875
1280,9472,10,10,0.003906,512,47683,50000000000,429260800,116.47930582061068,2.265283,2.2610499196663523
1024,9552,16,8,0.0002441,1024,38146,80000000000,268304384,298.1688141182218,2.373955,2.388778993936961
1024,9552,16,8,0.0004883,128,305175,80000000000,268304384,298.1688141182218,2.353194,2.329623065091784
1024,9552,16,8,0.001953,192,203450,80000000000,268304384,298.1688141182218,2.31331,2.3140986000870702
960,9368,15,7,0.01105,512,95367,100000000000,214663680,465.84499063837904,2.362219,2.3591575693581293
1024,9552,16,8,0.0002441,256,152587,80000000000,268304384,298.1688141182218,2.344125,2.3536440757221926
1024,9552,16,8,0.001953,256,152587,80000000000,268304384,298.1688141182218,2.301935,2.3109711840882894
1024,9552,16,8,0.005524,736,53074,80000000000,268304384,298.1688141182218,2.293652,2.305010401799526
960,9368,15,7,0.007812,64,762939,100000000000,214663680,465.84499063837904,2.444991,2.449716349049837
1024,9552,16,8,0.007812,256,152587,80000000000,268304384,298.1688141182218,2.329699,2.3355559443713934
1280,9472,10,10,0.001953,736,33171,50000000000,429260800,116.47930582061068,2.279601,2.269897950034147
960,9368,15,7,0.002762,192,254313,100000000000,214663680,465.84499063837904,2.393616,2.355397642116164
1024,9552,16,8,0.0004883,256,152587,80000000000,268304384,298.1688141182218,2.324018,2.33313111505117
960,9368,15,7,0.007812,2048,23841,100000000000,214663680,465.84499063837904,2.349467,2.358280539956027
960,9368,15,7,0.001953,64,762939,100000000000,214663680,465.84499063837904,2.380816,2.383608774336637
1024,9552,16,8,0.0009766,512,76293,80000000000,268304384,298.1688141182218,2.311532,2.3235499237149204
960,9368,15,7,0.001381,512,95367,100000000000,214663680,465.84499063837904,2.354742,2.352641919977844
1024,9552,16,8,0.001953,32,1220703,80000000000,268304384,298.1688141182218,2.33,2.404992899250749
1280,9472,10,10,0.005524,352,69358,50000000000,429260800,116.47930582061068,2.273546,2.260589224591654
1024,9552,16,8,0.005524,512,76293,80000000000,268304384,298.1688141182218,2.29721,2.307575288024545
1024,9552,16,8,0.003906,32,1220703,80000000000,268304384,298.1688141182218,2.384709,2.4635725062558147
1024,9552,16,8,0.007812,32,1220703,80000000000,268304384,298.1688141182218,2.419368,2.500379572058775
1024,9552,16,8,0.001953,2048,19073,80000000000,268304384,298.1688141182218,2.336618,2.337594159260944
960,9368,15,7,0.0009766,128,381469,100000000000,214663680,465.84499063837904,2.42427,2.359392655125105
960,9368,15,7,0.001381,1024,47683,100000000000,214663680,465.84499063837904,2.34895,2.3618699218116106
1280,9472,10,10,0.0002441,2048,11920,50000000000,429260800,116.47930582061068,2.388358,2.382244059253913
1024,9552,16,8,0.0004883,64,610351,80000000000,268304384,298.1688141182218,2.345244,2.341362180274581
960,9368,15,7,0.0003453,128,381469,100000000000,214663680,465.84499063837904,2.43914,2.374598226418498
1280,9472,10,10,0.007812,352,69358,50000000000,429260800,116.47930582061068,2.299815,2.2868810645281403
1024,9552,16,8,0.0003453,64,610351,80000000000,268304384,298.1688141182218,2.353153,2.347599348919404
1280,9472,10,10,0.001381,64,381469,50000000000,429260800,116.47930582061068,2.379788,2.2921215265528727
1280,9472,10,10,0.0009766,64,381469,50000000000,429260800,116.47930582061068,2.374638,2.2879226922833293
1024,9552,16,8,0.001953,736,53074,80000000000,268304384,298.1688141182218,2.302758,2.314073178196361
1280,9472,10,10,0.002762,1024,23841,50000000000,429260800,116.47930582061068,2.269282,2.278254603847574
1280,9472,10,10,0.007812,32,762939,50000000000,429260800,116.47930582061068,2.504388,2.4953724454060726
1280,9472,10,10,0.002762,512,47683,50000000000,429260800,116.47930582061068,2.268514,2.264134638408878
1024,9552,16,8,0.0003453,128,305175,80000000000,268304384,298.1688141182218,2.36256,2.3371490212718973
960,9368,15,7,0.005524,32,1525878,100000000000,214663680,465.84499063837904,2.525791,2.506268964105206
1024,9552,16,8,0.01105,1024,38146,80000000000,268304384,298.1688141182218,2.320013,2.333428318017039
1280,9472,10,10,0.007812,256,95367,50000000000,429260800,116.47930582061068,2.304266,2.298323277846284
1024,9552,16,8,0.01105,512,76293,80000000000,268304384,298.1688141182218,2.316546,2.3253005673444966
