,farseer,chinchilla,kaplan,farseer_default,chinchilla_default,kaplan_default,rf_ND,rf_all
114,[0.82581319],[0.0138314],[0.0131689],[0.77657177],[0.11335263],[0.00877882],[0.0068911],[0.02382155]
115,[0.82276647],[0.03156442],[0.03089034],[0.77266377],[0.13282639],[0.00855873],[0.02450272],[0.020896]
116,[0.82260354],[0.03251275],[0.03183805],[0.77245477],[0.13386781],[0.00948592],[0.02544457],[0.01776744]
117,[0.82321392],[0.02896009],[0.02828771],[0.77323771],[0.12996641],[0.00601248],[0.02191623],[0.01364933]
118,[0.82357585],[0.02685355],[0.02618255],[0.77370195],[0.12765308],[0.00395292],[0.0198241],[0.01087388]
119,[0.82667201],[0.00883272],[0.00817349],[0.77767338],[0.10786326],[0.01366601],[0.00192664],[0.02639528]
120,[0.8238116],[0.02548137],[0.02481126],[0.77400435],[0.1261462],[0.00261134],[0.01846132],[0.01927012]
121,[0.82354632],[0.02702538],[0.02635427],[0.77366408],[0.12784178],[0.00412092],[0.01999476],[0.01614415]
122,[0.82379397],[0.02558401],[0.02491384],[0.77398173],[0.12625892],[0.0027117],[0.01856326],[0.01312453]
123,[0.82427818],[0.02276572],[0.02209739],[0.77460282],[0.12316398],[4.3743883e-05],[0.01576426],[0.01065525]
124,[0.8254326],[0.01604657],[0.01538264],[0.77608359],[0.11578526],[0.00661304],[0.00909111],[0.01843259]
125,[0.82440399],[0.02203343],[0.02136558],[0.77476421],[0.12235981],[0.0007597],[0.01503698],[0.01915155]
126,[0.82577389],[0.01406013],[0.01339749],[0.77652136],[0.11360382],[0.00855518],[0.00711827],[0.01153335]
127,[0.82568829],[0.01455836],[0.01389539],[0.77641156],[0.11415095],[0.00806807],[0.00761308],[0.01097868]
128,[0.83190711],[0.02163746],[0.02227677],[0.7843884],[0.07440203],[0.04345665],[0.02833495],[0.01388453]
129,[0.82733984],[0.00494572],[0.00428903],[0.77853],[0.1035947],[0.01746633],[0.00193375],[0.01777701]
130,[0.82747736],[0.0041453],[0.00348914],[0.77870639],[0.10271572],[0.01824889],[0.00272869],[0.00961668]
131,[0.82761316],[0.00335491],[0.00269926],[0.77888058],[0.10184773],[0.01902166],[0.00351367],[0.01121136]
132,[0.82807884],[0.00064446],[9.41105799e-06],[0.77947791],[0.09887122],[0.02167166],[0.00620556],[0.00868349]
133,[0.80478539],[0.07537627],[0.07315989],[0.76184847],[0.17408157],[0.06794622],[0.04639752],[0.0165832]
134,[0.81100548],[0.04111173],[0.03896597],[0.76943666],[0.136672],[0.03391842],[0.01305633],[0.01177173]
135,[0.81608649],[0.01312204],[0.01103397],[0.77563522],[0.10611323],[0.00612212],[0.01417911],[0.0079641]
136,[0.81146126],[0.03860102],[0.03646044],[0.76999268],[0.13393084],[0.03142506],[0.01061328],[0.01089763]
137,[0.81468823],[0.02082466],[0.01872071],[0.77392941],[0.11452284],[0.01377152],[0.00668406],[0.00613335]
138,[0.80452996],[0.07678334],[0.07456407],[0.76153686],[0.1756178],[0.06934357],[0.04776668],[0.01665784]
139,[0.80995942],[0.04687416],[0.04471653],[0.76816052],[0.14296334],[0.03964104],[0.01866347],[0.01426234]
140,[0.8147905],[0.02026127],[0.01815848],[0.77405418],[0.11390774],[0.01321202],[0.00723227],[0.01173829]
141,[0.80999471],[0.04667977],[0.04452254],[0.76820356],[0.14275112],[0.039448],[0.01847433],[0.01235481]
142,[0.81290037],[0.03067341],[0.02854916],[0.77174832],[0.12527558],[0.02355222],[0.00289929],[0.00882996]
143,[0.80463356],[0.07621268],[0.07399458],[0.76166324],[0.17499475],[0.06877685],[0.0472114],[0.01832424]
144,[0.80943728],[0.04975047],[0.04758691],[0.76752353],[0.14610366],[0.04249748],[0.02146228],[0.015691]
145,[0.8140831],[0.02415809],[0.02204727],[0.77319119],[0.11816224],[0.01708192],[0.00344046],[0.01196906]
146,[0.80889477],[0.05273899],[0.05056927],[0.7668617],[0.14936649],[0.04546535],[0.02437026],[0.01307492]
147,[0.8114379],[0.03872971],[0.03658886],[0.76996418],[0.13407134],[0.03155286],[0.0107385],[0.0121316]
148,[0.8054232],[0.07186281],[0.06965367],[0.76262656],[0.17024562],[0.06445703],[0.04297874],[0.01823197]
149,[0.80925898],[0.0507327],[0.04856711],[0.76730601],[0.14717604],[0.04347292],[0.02241803],[0.01681364]
150,[0.81372809],[0.02611377],[0.02399892],[0.77275809],[0.12029743],[0.01902409],[0.00153747],[0.01219457]
151,[0.80817351],[0.05671219],[0.05453428],[0.7659818],[0.15370438],[0.0494111],[0.02823639],[0.01361679]
152,[0.81042604],[0.04430369],[0.04215135],[0.76872977],[0.14015694],[0.03708833],[0.01616227],[0.01447902]
153,[0.80639243],[0.06652362],[0.06432549],[0.76380897],[0.16441636],[0.05915474],[0.03778343],[0.01763117]
154,[0.80950919],[0.04935434],[0.0471916],[0.76761126],[0.14567117],[0.04210408],[0.02107682],[0.01608148]
155,[0.81334597],[0.02821874],[0.02609955],[0.77229192],[0.1225956],[0.02111451],[0.00051077],[0.01407066]
156,[0.80777829],[0.05888934],[0.05670694],[0.76549965],[0.15608136],[0.0515732],[0.03035488],[0.01393462]
157,[0.80972704],[0.04815431],[0.04599403],[0.76787702],[0.14436099],[0.04091234],[0.01990912],[0.01657804]
158,[0.80988733],[0.04727129],[0.04511284],[0.76807257],[0.14339693],[0.04003543],[0.01904991],[0.01603249]
159,[0.81333691],[0.02826863],[0.02614934],[0.77228087],[0.12265008],[0.02116406],[0.00055932],[0.01508909]
160,[0.80762475],[0.05973514],[0.057551],[0.76531234],[0.15700479],[0.05241316],[0.03117788],[0.01576722]
161,[0.81028321],[0.04509054],[0.04293658],[0.76855551],[0.14101601],[0.03786974],[0.01692792],[0.01530989]
162,[0.80917198],[0.05121194],[0.04904537],[0.76719988],[0.14769928],[0.04394885],[0.02288437],[0.02082227]
163,[0.81047352],[0.04404214],[0.04189035],[0.76878769],[0.13987139],[0.03682859],[0.01590777],[0.01645372]
164,[0.81353689],[0.02716702],[0.02505],[0.77252484],[0.12144735],[0.02007006],[0.00051261],[0.01627255]
165,[0.80821141],[0.0565034],[0.05432592],[0.76602804],[0.15347643],[0.04920375],[0.02803323],[0.01644268]
166,[0.81087953],[0.04180556],[0.03965837],[0.769283],[0.13742951],[0.03460746],[0.01373146],[0.01579976]
167,[0.808532],[0.0547374],[0.05256356],[0.76641913],[0.15154833],[0.04744995],[0.02631482],[0.02227394]
168,[0.81183229],[0.03655712],[0.03442075],[0.77044532],[0.13169933],[0.02939528],[0.00862445],[0.0146934]
169,[0.81399645],[0.02463541],[0.02252361],[0.77308548],[0.11868338],[0.01755595],[0.00297599],[0.01793151]
170,[0.8129936],[0.03015984],[0.02803665],[0.77186205],[0.12471487],[0.0230422],[0.00239956],[0.02178871]
171,[0.81645975],[0.01106586],[0.00898203],[0.77609058],[0.10386832],[0.00408015],[0.01617988],[0.01189784]
172,[0.81012922],[0.04593881],[0.0437831],[0.76836766],[0.14194214],[0.03871215],[0.01775332],[0.02223494]
173,[0.81406921],[0.02423463],[0.02212366],[0.77317424],[0.11824581],[0.01715793],[0.00336598],[0.01213554]
