step,num_experts,d_model,num_blocks,num_heads,kqv_size,flop_increase,k,router_type,seed,routing_frequency,N,dense_parameter_count,flops_per_step,D,loss
170000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.191847715417992
180000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.179821744646857
190000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.163879795115992
200000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.1481336445231123
210000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.13825754609107
220000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.128976676430507
230000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.1176125060697677
240000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.111194216882568
249000,64,2048,24,16,128,1.0,1,Hash,42,0.5,26677542912.0,1308819456.0,1760713253060608.0,130000000000,2.1097844645290644
0,512,2048,24,16,128,1.0,1,Hash,42,0.5,207077179392.0,1308819456.0,1772258125152256.0,130000000000,10.825206372080638
10000,512,2048,24,16,128,1.0,1,Hash,42,0.5,207077179392.0,1308819456.0,1772258125152256.0,130000000000,2.701849125170345
